Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DE-151116.PrjPcb|ReportField=ProjectFullPath~F:\SkyDrive\OtvoreniProjekti\HotelHills\hw\RoomController\DE-151116\DE-151116.PrjPcb|ReportField=Title~Bill of Materials For Project [DE-151116.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~26|ReportField=ReportTime~17:32:07|ReportField=ReportDate~13.5.2018.|ReportField=ReportDateTime~13.5.2018. 17:32:07|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Topal Osman Paše 18|ReportField=Address2~71000 Sarajevo|ReportField=Address3~Federacija BiH|ReportField=Address4~Bosna i Hercegovina|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~eldar6776@hotmail.com|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~13.5.2018.|ReportField=CurrentTime~17:31:49|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\SkyDrive\OtvoreniProjekti\HotelHills\hw\RoomController\DE-151116\DE-151116.SchDoc|ReportField=DocumentName~DE-151116.SchDoc|ReportField=DocumentNumber~DE-151116|ReportField=DrawnBy~Eldar Dedic|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~12.12.2016.|ReportField=Organization~I-MEDIA GROUP d.o.o.|ReportField=ProjectName~DE-151116.PrjPcb|ReportField=Revision~001|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Touch Sensor Signal Panel|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~DE-151116.PrjPcb|ReportField=DataSourceFullPath~F:\SkyDrive\OtvoreniProjekti\HotelHills\hw\RoomController\DE-151116\DE-151116.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|10pF|Ceramic Chip Capacitor - Standard|C1, C3|0603|2
2|100nF|Ceramic Chip Capacitor - Standard|C2, C4, C5|0603|3
3|4u7|Ceramic Chip Capacitor - Standard|C6|0805|1
4|RED_LED|High Performance Chip LED, Red|D1, D3|1.6X0.8X0.8|2
5|BLUE_LED|Blue Surface Mount Chip LED, Blue|D2|1.6X0.8X0.8|1
6|GREEN_LED|High Performance SMT Chip LED, Green|D4|1.6X0.8X0.8|1
7|WHITE_LED|High Performance Chip LED, Amber|D5|1.6X0.8X0.8|1
8|Senzor|Plug|P1, P2|PIN1|2
9|Header 8|Header, 8-Pin|P3|HDR1X8|1
10|330R|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R1, R3, R4|ERA-0603|3
11|180R|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R2, R5|ERA-0603|2
12|15R|Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W|R6|ERA-0805|1
13|2K2|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R7, R9|ERA-0603|2
14|3K3|Metal Film Thermosensitive Chip Resistor, 0.56 Ohm to 10k Ohm Range, 5% Tolerance, 0603 Size, 0.063 W|R8, R10|ERA-0603|2
15|TTP223-BA6|One-channel Toggle-mode Touch Sensor IC with Power Management Functions, 6-pin SOT23|U1, U2|6ST1_N|2
